"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2019","350303","涵江区","2.80295919496944","545.22","15.44","356.31","173.46","295.58","61.46","48.8","38.36","10.44",,,"234420","77443","37679","3992","296786","42878","79664","6662","28633","1732933",,,"6.9","5","11.2","11.7","111725.409836066","78.6065573770492","0.51409691408412","0.653516011885111","0.318146803125344","0.54212978247313","0.0429954880598657","0.054434173361212","5.74376884215049","355109221.311475"
"2020","350303","涵江区","2.63898568576956","595.12","17.22","391.51","186.39","328.73","63.58","48","38.09","9.91",,,"236016","80700","32598","4331","315526","43182","80507","6884","29542","1630204",,,"3.3","-2.3","14.5","-5.9","123983.333333333","79.3541666666667","0.443437573223814","0.657867320876462","0.313197338351929","0.552375991396693","0.0396585562575615","0.0530188869471703","5.49788684535325","339625833.333333"
"2021","350303","涵江区","2.99560332367822","639.42","17.36","427.07","194.98","361.45","66.32","48.1","38.31","9.79","369.22","83.88","236106","76272","44219","5661","260887","45657","80538","834","20115","157.04","6.4","8.5","6.9","4.1","12.1","-3.7","132935.550935551","79.6465696465697","0.468487586199715","0.667902161333709","0.304932595164368","0.56527790810422","0.0369250258046355","0.0408005692658972","6.22786553779256","32648.6486486486"
"2013","350304","荔城区","2.07756640918083","260.95","17.08","162.35","129.23","33.12","81.52","51","35","16","216.15","128.77",,,,,,,,,,"1134084","25.5","10.4",,,,"14.2","51166.6666666667","68.6274509803922","0.796154975735133","0.622149837133551","0.495228971067254","0.126920866066296",,,"4.07365962584477","222369411.764706"
"2014","350304","荔城区","2.25538937251628","294.78","15.98","179.47","99.33","144.68","37.21","51.3","35.47","15.83","245.01","148.23",,,,,,,,,,"1222488","13.4","15.1",,,,"9.1","57461.9883040936","69.1423001949318","0.765109360375969","0.608826921772169","0.336963158966009","0.490806703304159",,,"4.39647051172764","238301754.385965"
"2015","350304","荔城区","2.37196809950472","330.38","17.11","197.55","115.71","161.27","38.88","51.7","36.38","15.32","281.76","155.96","227795","33456","58490","28331","281051","18007","100375","3321","22875","1483582","15","5.2","155.73","141.33","14.41","14.2","63903.2882011605","70.3675048355899","0.717951479963896","0.597947817664508","0.350233064955506","0.488134874992433","0.0689493916096616","0.0850690114413706","4.58794603385826","286959767.891683"
"2016","350304","荔城区","2.8269790613885","367.61","18.66","215.61","133.34","178.85","39.61","52.1","37.3","14.8","296.97","190.26","224519","49771","31671","32217","283191","15877","100481","3572","21311","1660654","5.4","22",,,,"9.8","70558.5412667946","71.5930902111324","0.769015821492478","0.586518321046761","0.362721362313321","0.486521041320965","0.0610753243926988","0.0770357172002938","5.4260634575595","318743570.057582"
"2017","350304","荔城区","2.82824020916636","408.79","14.75","239.23","154.8","195.76","45.21","52.3","37.97","14.33","362.41","243.96","247326","74921","1561","37773","304208","22588","89671","10325","22763","1886981","22","28.2","8.1","8.4","6.1","12.5","78162.5239005736","72.6003824091778","0.691856505581438","0.585214902517185","0.378678539103207","0.478876684850412","0.0605019692262531","0.0744166931676411","5.40772506532765","360799426.386233"
"2018","350304","荔城区","2.88224544439915","445.08","15.88","244.22","184.98","197.41","48.04","52.3","38.28","14.02",,,"274676","87064","814","36984","306269","25100","91411","12709","23570","2042511",,,"8.8","12.6","-13","8.2","85101.3384321224","73.1931166347992","0.647579186752752","0.548710344207783","0.415610676732273","0.443538240316348","0.0617138491956502","0.0688121236631617","5.51098555334446","390537476.099426"
"2019","350304","荔城区","2.92159812876134","565.79","17.58","309.21","239","242.76","67.06","52.5","38.75","13.75",,,"283776","94747","30782","5350","331825","27198","92088","3453","24687","4497416",,,"9.8","8.7","17.5","1.1","107769.523809524","73.8095238095238","0.516375002874095","0.546510189292847","0.422418211703989","0.429063786917408","0.0501557114830591","0.0586480849785256","5.56494881668827","856650666.666667"
"2020","350304","荔城区","3.08126271557597","548.01","16.52","285.92","245.57","224.18","62.28","67.4","49.98","17.42",,,"275534","94412","27880","5664","341611","32543","94429","4724","27044","4386086",,,"3.3","2.7","7.6","-2.5","81307.1216617211","74.1543026706231","0.562263957879595","0.521742303972555","0.448112260725169","0.409080126275068","0.0502790095071258","0.0623366361927702","4.57160640293171","650754599.406528"
"2021","350304","荔城区","3.23356465363083","618.81","17.42","331.4","269.99","268.17","63.74","67.6","50.67","16.93","367.77","129.15","306217","98435","23502","7590","366318","31449","97762","2224","30037","504.54","7","26.9","9.9","9.5","12.5","15","91539.9408284024","74.9556213017752","0.522545636565477","0.535544028053845","0.436305166367706","0.433364037426674","0.0494848176338456","0.059197168759393","4.78337966513436","74636.0946745562"
"2013","350305","秀屿区","2.15298361743394","263.35","39.38","153.22","112.43","40.79","70.75","57.9","19.7","38.2","373.97","363.93",,,,,,,,,,"509950","33.6","36.7",,,,"9.9","45483.5924006909","34.0241796200345","0.817536972634874","0.58181127776723","0.426922346686919","0.154888931080311",,,"3.71845184358193","88074265.9758204"
"2014","350305","秀屿区","2.3102101864504","302.79","38.02","179.12","85.66","134.5","46.87","58.4","22.14","36.26","489.03","467.73",,,,,,,,,,"555814","30.8","28.5",,,,"6.8","51847.602739726","37.9109589041096","0.762974400228013","0.591565111133129","0.282902341556855","0.444202252386142",,,"3.95583936036027","95173630.1369863"
"2015","350305","秀屿区","2.32039027589643","329.07","40.71","192.9","95.47","143.04","52.25","58.8","23.38","35.42","605.95","585.93","194420","38221","33189","33611","332810","24778","95719","1760","48145","611810","23.9","25.3","133.81","51.8","82.01","13.6","55964.2857142857","39.7619047619048","0.705135769257735","0.58619746558483","0.290120643024281","0.434679551463215","0.0590816543592549","0.101136536299268","3.94624196581025","104049319.727891"
"2016","350305","秀屿区","2.67977561193314","368.86","46.02","211.93","110.91","154.45","59.93","59.2","25.38","33.82","705.9","689.15","178058","38434","17933","33043","344296","24952","98403","2153","41547","682212","16.5","17.6",,,,"11.8","62307.4324324324","42.8716216216216","0.726502090748018","0.574554031339804","0.300683186032641","0.418722550561188","0.0482725153174646","0.0933405628151602","4.5266479931303","115238513.513514"
"2017","350305","秀屿区","2.8102085651437","422.39","56","226.34","140.05","159.84","67.97","59.4","26.37","33.03","770.13","742","222759","54785",,"22397","369438","32775","104883","1556","38252","754838","9.1","7.7","9.1","9.6","8.8","10","71109.4276094276","44.3939393939394","0.665311339080873","0.535855489003054","0.331565614716258","0.378418049669737","0.0527377542081962","0.0874637183645446","4.73099085041027","127077104.377104"
"2018","350305","秀屿区","2.23611667719408","463.92","59","249.55","155.38","173.81","76.82","59.4","27.5","31.9",,,"206142","66518","49","33820","336942","34924","107316","1177","34674","827155",,,"11.3","8","14.2","9.6","78101.0101010101","46.2962962962963","0.482004801947336","0.537916020003449","0.334928435937231","0.374655112950509","0.0444348163476461","0.0726293326435592","3.76450619056242","139251683.501684"
"2019","350305","秀屿区","2.44370104767615","475.22","59.94","242.69","172.59","193.07","50.05","59.6","28.19","31.41",,,"209746","78143","23457","2879","321349","45246","103435","1132","36551","1221254",,,"10.9","9.4","12.1","7.3","79734.8993288591","47.2986577181208","0.514225210991993","0.510689785783427","0.363179159126299","0.406274988426413","0.0441366104120197","0.0676211018054796","4.10016954308079","204908389.261745"
"2020","350305","秀屿区","2.31141305807255","493.5","58.47","257.11","177.91","212.08","45.54","60.4","26.5","33.9",,,"245568","99350","36996","2534","400895","90442","110160","2771","41242","1165672",,,"1","-6.5","7.1","-4.6","81705.298013245","43.8741721854305","0.468371440338916","0.520992907801418","0.360506585612969","0.429746707193516","0.0497604863221884","0.0812350557244174","3.82684281137839","192992052.980132"
"2021","350305","秀屿区","2.51492264509481","527.63","68.57","272.47","186.59","225.01","47.89","60.6","27.5","33.1","577.46","41.69","235712","90928","45398","4208","370329","69322","110005","744","26978","112.74","-7.2","-22.3","3.6","-4.4","9","-3.3","87067.6567656766","45.3795379537954","0.476645119704113","0.516403540359722","0.353637965998901","0.426454144002426","0.0446737296969467","0.0701872524306806","4.15003736814325","18603.9603960396"
"2013","350322","仙游县","2.111715481297","239.92","28.22","118.41","99.74","18.67","93.29","84","31.2","52.8","190.65","127.63",,,,,,,,,,"698909","27.3","4.5",,,,"9.9","28561.9047619048","37.1428571428571","0.880174842154468","0.493539513171057","0.415721907302434","0.0778176058686229",,,"2.51394700154405","83203452.3809524"
"2014","350322","仙游县","2.30727060003522","275.92","29.04","138.31","108.57","118.24","22.04","84.6","33.68","50.92","221.57","137.86",,,,,,,,,,"783867","16.2","8",,,,"11.9","32614.6572104019","39.8108747044917","0.8362099884152","0.50126848361844","0.393483618440128","0.428530008698173",,,"2.72727021280759","92655673.7588653"
"2015","350322","仙游县","2.4016713824248","309.74","30.56","159.01","120.18","137.81","23.5","85.2","35.24","49.96","279.8","211.29","183701","26844","34113","19026","427466","29171","130993","4308","61419","840773","26.3","53.3","127.38","97.72","29.66","8.6","36354.4600938967","41.3615023474178","0.775383025254988","0.513366048944276","0.388002841092529","0.444921547104023","0.0593081293988506","0.13800800671531","2.81886312491174","98682276.9953052"
"2016","350322","仙游县","2.27165374227517","339.32","32.37","169.36","137.59","145.15","26.52","85.9","36.84","49.06","328.12","275.96","184580","35203","17228","13984","473827","27111","135674","3228","57360","881034","17.3","30.6",,,,"8.6","39501.7462165308","42.8870779976717","0.669472398407158","0.499115878816456","0.405487445479194","0.427767299304491","0.0543970293528233","0.139640162678298","2.64453287808518","102565075.669383"
"2017","350322","仙游县","2.31645299204462","359.9","17.66","173.64","168.6","144.78","30.24","86.3","39.7","46.6","403.25","349.14","217748","50988","1387","22116","535935","32810","140346","3158","73143","950558","22.9","26.5","8.1","10.9","-0.6","9.7","41703.3603707995","46.0023174971031","0.643637952777055","0.482467352042234","0.468463462072798","0.40227841066963","0.0605023617671575","0.148912197832731","2.68418654929852","110145770.567787"
"2018","350322","仙游县","2.40003210608119","411.58","18.92","201.63","191.02","166.22","36.45","86.3","42.2","44.1",,,"244605","62725","180","21466","497477","34356","145941","1263","66772","1063337",,,"8.3","3.1","28","11.9","47691.7728852839","48.8991888760139","0.583126513941686","0.48989260897031","0.464113902521988","0.40385830215268","0.0594307303561884","0.120870061713397","2.78103372662942","123214020.857474"
"2019","350322","仙游县","2.6099761632333","533.52","20.83","288.85","223.85","248.62","40.83","86.7","43.44","43.26",,,"262014","79053","18956","17196","566535","42724","146494","1069","81505","3619775",,,"8.2","4.4","19.5","10.2","61536.3321799308","50.1038062283737","0.489199310847447","0.541404258509522","0.419571899835058","0.465999400209927","0.0491104363472785","0.106188146648673","3.01035312945017","417505767.012687"
"2020","350322","仙游县","2.54631726472849","521.49","22.29","257.08","242.11","215.26","42.34","90.5","47.39","43.11",,,"272420","72049","17444","21554","576593","38487","147345","3149","73608","3489238",,,"-0.3","2.3","-6.7","-3.6","57623.2044198895","52.3646408839779","0.488277294814568","0.492972060825711","0.464265853611766","0.412778768528639","0.0522387773495177","0.11056645381503","2.81361023726905","385551160.220994"
"2021","350322","仙游县","2.81005412972768","558.34","22.86","274.92","260.56","231.01","44.35","90.8","48.27","42.53","269.69","43.52","267164","97687","31032","11136","548006","34302","150804","2677","47002","343.64","4.5","-36.4","5.6","8","-1.1","-1.5","61491.1894273128","53.1607929515419","0.503287267565942","0.492388150589247","0.466669054697854","0.413744313500734","0.047849697317047","0.098149156427983","3.0947732706252","37845.8149779736"
"2013","350402_350403","三元区（含原梅列区）","5.59997977439715","317.18","14.6","172.2","148.73","23.47","130.38","37.8","34.1","3.7","232.85","203.41",,,,,,,,,,"1019109","27.55","36.85",,,,"8.75","83910.0529100529","90.2116402116402","1.7655526118914","0.542909388990479","0.468913550665237","0.0739958383252412",,,"14.814761307929","269605555.555556"
"2014","350402_350403","三元区（含原梅列区）","5.91214058269763","337.99","15.32","183.46","139.22","158.82","24.63","37.8","34.23","3.57","277","231.29",,,,,,,,,,"983200","18.95","12.85",,,,"9.1","89415.3439153439","90.5555555555556","1.7492057701996","0.542797124175271","0.411905677682772","0.469895559040208",,,"15.6405835521101","260105820.10582"
"2015","350402_350403","三元区（含原梅列区）","6.04836146108785","348.99","16.39","179.74","152.86","155.83","23.9","37.9","34.43","3.47","319.45","282.91","116826","8514","22447","6730","197351","17793","40559","3111","32259","1060368","15.2","22.15","61.58","11.665","49.915","8.15","92081.7941952507","90.844327176781","1.73310451906583","0.515029083927906","0.438006819679647","0.446517092180292","0.0334754577495057","0.0565491847903951","15.9587373643479","279780474.934037"
"2016","350402_350403","三元区（含原梅列区）","6.28114751779144","378.67","17.76","194.74","166.19","169.34","25.39","38.24","34.91","3.33","373.58","336.38","112427","16014","9566","7397","175401","18383","40202","1958","31689","1129921","17","19.8",,,,"8.55","99024.5815899582","91.2918410041841","1.65873914431865","0.514273641957377","0.43887817888927","0.447196767634088","0.0296899675178916","0.0463202788707846","16.425594973304","295481433.054393"
"2017","350402_350403","三元区（含原梅列区）","6.25500807734548","453.26","13.45","246.41","193.4","218.17","28.23","38.8","35.72","3.08","440.51","402.25","117742","24582","49","6318","233651","19160","48538","3190","38831","1259983","17.9","20","8","0.7","8.65","11.6","116819.587628866","92.0618556701031","1.38000442954275","0.543639412257865","0.426686669902484","0.481335215990822","0.0259767021135772","0.0515490005736222","16.1211548385193","324737886.597938"
"2018","350402_350403","三元区（含原梅列区）","6.37006943613986","503.26","15.27","280.09","207.9","248.01","32.09","39.1","36.2","2.9",,,"121554","28690","-39","8429","192963","17942","46224","1621","26594","1420492",,,"8.85","8.4","8.25","13.35","128710.997442455","92.5831202046036","1.26576112469496","0.556551285617772","0.413106545324484","0.4928068990184","0.0241533203513095","0.0383426062075269","16.2917376883372","363297186.700767"
